Subject,From,Body
"Gentle Reminder II : Filling up ""Response Form"" for lecture courses
 of all programs of Spring Sem 2022-23(Excluding MBA and U.G. 1st Year)",Assit RegistrarCurriculum <arcurriculum@iitr.ac.in>,"Dear Students ( Excluding MBA and UG 1st Yr ), 

It is a gentle reminder regarding submitting Response Form. Today i.e., Apr 25 , 2023, 06:00 pm . 
In case of any query/ technical concern, write at 'AIS- Query ' till Apr 25 , 2023, 5:30 pm 
For details , read the notice below. 

Ignore this mail if you have already submitted the response. 


Regards, 
Major Reeti (Retd.) 
Assistant Registrar (Curriculum) 
Academic Section 
IIT Roorkee 


From: ""Assit RegistrarCurriculum"" <arcurriculum@iitr.ac.in> 
To: ""Students-Notices"" <students-notices@iitr.ac.in> 
Cc: ""Dean AcademicAffairs"" <daa@iitr.ac.in>, ""Assoc DeanofAcademicAffairs"" <adaa-curriculum@iitr.ac.in>, ""Assoc. Dean of Academic Affairs Admission"" <adaa-admission@iitr.ac.in>, ""Assit RegistrarEvaluation"" <arevaluation@iitr.ac.in>, ""Assoc. Dean of Academic Affairs Evaluation"" <adaa-evaluation@iitr.ac.in> 
Sent: Monday, April 24, 2023 12:48:35 PM 
Subject: Reminder I : Filling up ""Response Form"" for lecture courses of all programs of Spring Sem 2022-23(Excluding MBA and U.G. 1st Year) 

Dear Students ( Excluding MBA and UG 1st Yr ), 

It is reminder regarding submitting Response Form. The last date is Apr 25, 2023 (till 06:00 pm). 
In case of any query/ technical concern, write at 'AIS- Query ' before Apr 25 , 2023. 
For details , read the notice below. 

Ignore this mail if you have already submitted the response. 

Regards, 
Major Reeti (Retd.) 
Assistant Registrar (Curriculum) 
Academic Section 
IIT Roorkee 


From: ""Assit RegistrarCurriculum"" <arcurriculum@iitr.ac.in> 
To: ""Students-Notices"" <students-notices@iitr.ac.in> 
Cc: ""Dean AcademicAffairs"" <daa@iitr.ac.in>, ""Assoc DeanofAcademicAffairs"" <adaa-curriculum@iitr.ac.in>, ""Assoc. Dean of Academic Affairs Admission"" <adaa-admission@iitr.ac.in>, ""Assit RegistrarEvaluation"" <arevaluation@iitr.ac.in>, ""Assoc. Dean of Academic Affairs Evaluation"" <adaa-evaluation@iitr.ac.in> 
Sent: Friday, April 21, 2023 2:32:29 AM 
Subject: Filling up ""Response Form"" for lecture courses of all programs of Spring Sem 2022-23(Excluding MBA and U.G. 1st Year) 

Dear Students, 




The online portal for filling up ""Response Form"" for lecture courses of all programs of Spring Sem 2022-23 (excluding MBA and U.G. 1 st Year) is active with effect from Apr 21 to Apr 25 , 2023 (till 06:00 pm) . 



Filling up of Response Form is mandatory for all. The students who fail to submit responses in time will have to deposit late registration fine of Rs 1000/- to be allowed for registration to the subsequent semester. 







Steps for submitting responses: 




1. Log in to AIS ( https://acad.iitr.ac.in) 



2. Click at tab ' Response Form. ' 




3. Click at the name of every faculty tagged under field ' Faculty. ' 




4. Enter the feedback for all tagged faculty members. 




Note : 







1. Please ensure that you receive a Response Code on successful submission of the Response Form. If the Response Code is not generated, you will not be allowed to register in the subsequent 

semester. 




2. You are advised not to wait for the last date to submit the responses. 



3. In case of any query/ technical concern, write at 'AIS- Query ' before Apr 25 , 2023. 



4. No correspondence through mail/ request for extension of the date will be entertained. 



Regards, 
Major Reeti (Retd.) 
Assistant Registrar (Curriculum) 
Academic Section 
IIT Roorkee 

"
Venture Student Partner Program: E-Cell x Venture Highway,E-Cell IIT Roorkee <ecell@iitr.ac.in>,"Greetings from E-Cell,

Venture Highway in collaboration with *E-Cell IIT Roorkee* is pleased to
announce the launch of the *""Venture Highway Student Partner Program""* for
this year. This program seeks to provide an opportunity for the *graduating
batch of IIT Roorkee to experience the VC space through a 9-week program
that starts on 16th May.*

This will be a paid opportunity, and more details on the same can be found
here:
Venture Highway Student Partner Program (bit.ly/VHSVP)

The application deadline is 30th April.

Please reach out to
Akul Jindal (akul@venturehighway.vc) for any clarifications.
Student Coordinator:
Sarvesh Kature: +919623632358

Regards
Team E-Cell
"
Re: Choices for HSSMEC Autumn Sem 2023-24 ( UG II Year),Assit RegistrarCurriculum <arcurriculum@iitr.ac.in>,"

Dear Students, 




It is a gentle reminder regarding HSSMEC. Today i.e., April 25, 2023 , 5:30 p.m is the last date to submit your choices for the same. 

Regards, 
Major Reeti (Retd.) 
Assistant Registrar (Curriculum) 
Academic Section 
IIT Roorkee 


From: ""Assit RegistrarCurriculum"" <arcurriculum@iitr.ac.in> 
To: ""UG 1st Year Students"" <ug-1st-year@iitr.ac.in> 
Cc: ""Hod of Departments"" <hod@iitr.ac.in>, ""Dean AcademicAffairs"" <daa@iitr.ac.in>, ""Assoc DeanofAcademicAffairs"" <adaa-curriculum@iitr.ac.in> 
Sent: Monday, April 24, 2023 11:56:14 AM 
Subject: Re: Choices for HSSMEC Autumn Sem 2023-24 ( UG II Year) 



Dear Students, 




It is a gentle reminder regarding HSSMEC. Tomorrow i.e., April 25, 2023 , is the last date to submit your choices for the same. 

Regards, 
Major Reeti (Retd.) 
Assistant Registrar (Curriculum) 
Academic Section 
IIT Roorkee 


From: ""Assit RegistrarCurriculum"" <arcurriculum@iitr.ac.in> 
To: ""UG 1st Year Students"" <ug-1st-year@iitr.ac.in> 
Cc: ""Hod of Departments"" <hod@iitr.ac.in>, ""Dean AcademicAffairs"" <daa@iitr.ac.in>, ""Assoc DeanofAcademicAffairs"" <adaa-curriculum@iitr.ac.in> 
Sent: Thursday, April 20, 2023 2:51:49 PM 
Subject: Choices for HSSMEC Autumn Sem 2023-24 ( UG II Year) 



No.Acad/UG/20423/OEC-Reg./2023-24 Date: April 20 , 2023 




Notice: Humanities Elective (HSSMEC) Category courses (Autumn Semester 2023-24) 




SECOND YEAR STUDENTS 




The Undergraduate/IMT/BSMS II Yr students are hereby informed that the provisional registration for the HSSMEC (for second year) for Autumn Semester 2022-23 will be carried out online at [ https://acad.iitr.ac.in/ | https://acad.iitr.ac.in ] during 20 April, 2023 to 25 April, 2023. 




All students are required to give their choices for HSSMEC category courses for Autumn Semester 2023-24 during the above schedule. Registration after the due date would not be allowed. Non-registered students would not be able to add these courses at the time of addition/deletion also. 




In case of Students who do not fill up choices within the prescribed date, the Academic Section will allocate the electives as per availability. 




The list of the courses to be offered are given below: 




Kindly note that students are required to opt for minimum 2 choices at least. 



Subject Area 	

Subject Code 	

Subject title 	

In which branch to be offered 


HSSMEC 

	

HSS-01/HSS-02 	

Economics/ Sociology 	

BE, CE, CH, CSE, ECE, EE, EPH,DSAI 

BS-MS(Chemical Science), BS-MS(Physics) 





The Notice is also uploaded on channel i and acad portal. 
channel i link- [ https://channeli.in/noticeboard/notice/9514 | https://channeli.in/noticeboard/notice/9514 ] 


Regards, 
Major Reeti (Retd.) 
Assistant Registrar (Curriculum) 
Academic Section 
IIT Roorkee 

"
OEC/HSSMEC Choices,AAO IITR <donotreply-acad@iitr.ac.in>,Submitted Choices for OEC/HSSMEC
OEC/HSSMEC Choices,AAO IITR <donotreply-acad@iitr.ac.in>,Submitted Choices for OEC/HSSMEC
IPA Lecture Notice,Head Physics <head@ph.iitr.ac.in>,"
Dear Faculty Colleagues and students,=20

Please find below the details of the next IPA lecture:=20


Speake r : Prof. Paulo de Souza, Griffith University, Australia=20
Title: The long path from Roorkee to Mars=20
Venue: Bose Auditorium, Physics Department=20
Date & Time: 27 April 2023 ( Thursday ), 3:00 PM=20

Abstract :=20

During the last 5 decades, Mars has been visited by several satellites, lan=
ders and rovers. Together this fleet changed our understanding about the ev=
olution of our Solar System and fueled the quest for life beyond Earth.=20

Join Professor Paulo de Souza worked with NASA=E2=80=99s Mars Exploration R=
over Program and is now the Dean (Research), Sciences with Griffith Univers=
ity in Australia. He will be at ITT Roorkee to discuss the history and futu=
re of Mars explorations. This event will present you with what we knew befo=
re the Mariner spacecraft fly-by to what we should expect to know with the =
current missions travelling to Mars and what we should expect for the next =
decades and the opportunities for you.=20
About the speaker :=20

Professor Paulo de Souza is a physicist and has a master=E2=80=99s in mecha=
nical engineering from UFES. He was supervised in Brazil by an alumnus from=
 Roorkee (Professor Vijayendra Kumar Garg, PhD 1971, then supervised by Pro=
fessor S. P. Puri). He completed his Ph.D. in Natural Sciences ( Dr. rer. n=
at. ) at [ https://www.uni-mainz.de/ | Johannes Gutenberg Universit=C3=A4t =
] in Mainz, Germany. His research interests lie in the area of micro-sensin=
g and he explores applications of his instruments across different fields o=
f science and in industry, including mining, space, and ICT. Professor Garg=
 introduced him to Mossbauer spectroscopy and this technique became an impo=
rtant part of the NASA=E2=80=99s Mars Exploration Rovers with two spectrome=
ters he helped build and operate on the surface of the Red Planet.=20
He serves as editorial board member of several interdisciplinary journals a=
nd is a reviewer of several research funding programs in Australia and abro=
ad. He has extensive international hands-on experience in industrial resear=
ch, consultancy, government agencies, and academia. Paulo is an experienced=
 postgraduate and early career researcher supervisor. He is co-author of se=
veral books and international patents, and of over 200 peer-review publicat=
ions including several articles in the prestigious journals Science and Nat=
ure. He is co-author of a series of articles identified as the =E2=80=9CBre=
akthrough of the Year=E2=80=9D by Science Magazine. Paulo received several =
international awards for his service to science. Paulo is an experienced sc=
ience communicator having his research covered by major media including CNN=
, Al Jazeera, Time Magazine, Forbes, The Guardian, and BBC.=20

Paulo is the Dean of Research for Sciences with Griffith University. Paulo =
proudly considers himself a grandson scientist of Roorkee.=20

All are cordially invited.=20

Regards,=20

G. D. Varma=20


--=20
Dr. G. D. Varma=20
Professor=20
Head of department=20
Department of Physics=20
I.I.T. Roorkee=20
Roorkee-247667, Uttarakhand, India=20
Telephone: +91-1332-285353(O), 285238(R)=20
"
E-Cell's Weekly Newsletter,E-Cell IIT Roorkee <ecell@iitr.ac.in>,"=C2=AD

*STARTUP WEEKLY DIGEST*

*Highlights*
=C2=AD
<https://inc42.com/buzz/mapmyindia-fy23-results-pat-zooms-23-to-inr-108-cr-=
revenue-up-1-4x/>

*MapmyIndia FY23 Results: PAT Zooms 23% To INR 108 Cr, Revenue Up 1.4X*

Geotech startup MapmyIndia=E2=80=99s consolidated profit after tax (PAT) zo=
omed 23%
to INR 107.53 Cr in the fiscal year 2022-23 (FY23) from INR 87.07 Cr in the
year ended March 2022.Revenue from operations grew 1.4X to INR 281.46 Cr in
FY23 from INR 200.4 Cr during the last financial year.

Know more
<https://inc42.com/buzz/mapmyindia-fy23-results-pat-zooms-23-to-inr-108-cr-=
revenue-up-1-4x/>

*Fundings and Acquisitions*
=C2=AD
<https://economictimes.indiatimes.com/tech/funding/study-abroad-startup-asl=
-raises-5-million-in-funding/articleshow/99725903.cms>

*Study-abroad startup ASL raises $5 million funding from CSVP Fund*
=C2=AD

Adventum Student Living (ASL), a study-abroad platform that owns the
UniAcco, UniCreds and UniScholars brands, on Monday said it has raised $5
million in a bridge equity round led by new investor Cornerstone Venture
Partners Fund (CSVP Fund).

*Know more*
<https://economictimes.indiatimes.com/tech/funding/study-abroad-startup-asl=
-raises-5-million-in-funding/articleshow/99725903.cms>
<https://economictimes.indiatimes.com/tech/funding/healthtech-startup-trico=
g-health-raises-8-5-million/articleshow/99627114.cms>

*Healthtech startup Tricog Health raises $8.5 million*
=C2=AD

Heart focused healthtech startup Tricog Health on Wednesday said it has
raised $8.5 million in a funding round, dubbed Series B2, from Omron Health
Care and Sony Innovation Fund, among other investors.

*Know more*
<https://economictimes.indiatimes.com/tech/funding/healthtech-startup-trico=
g-health-raises-8-5-million/articleshow/99627114.cms>
<https://economictimes.indiatimes.com/tech/startups/coca-cola-acquires-15-s=
take-in-food-delivery-platform-thrive/articleshow/99564727.cms>

*Coca-Cola acquires 15% stake in food delivery platform Thrive*
=C2=AD

Krishi Fagwani, co-founder & CEO of Thrive, which competes with delivery
platforms Swiggy and Zomato, said that Thrive and Coca-Cola will
collaborate to bring positive disruption in the food-tech space.

*Know more*
<https://economictimes.indiatimes.com/tech/startups/coca-cola-acquires-15-s=
take-in-food-delivery-platform-thrive/articleshow/99564727.cms>

*Announcements by GOI*
=C2=AD
<https://inc42.com/buzz/cabinet-approves-national-quantum-mission-to-boost-=
indian-startups/>

*Cabinet Approves National Quantum Mission To Boost Startups*
=C2=AD

In a bid to strengthen the local research and development (R&D) ecosystem,
the Union Cabinet on April 19 approved the National Quantum Mission at a
total cost of INR 6,003.65 Cr. The assent was accorded at a meeting of the
Union Cabinet chaired by Prime Minister Narendra Modi.

*Know more*
<https://inc42.com/buzz/cabinet-approves-national-quantum-mission-to-boost-=
indian-startups/>

*Interesting Reads*
=C2=AD
<https://inc42.com/buzz/former-zilingo-ceo-ankiti-bose-files-100-mn-defamat=
ion-suit-against-mahesh-murthy/>

*Former Zilingo CEO Ankiti Bose Files $100 Mn Defamation Suit Against
Mahesh Murthy*
=C2=AD

Ankiti Bose, the former CEO and the cofounder of Singapore-based fashion
ecommerce startup, Zilingo has filed a $100 Mn defamation suit against the
high-profile angel investor and Seedfund cofounder Mahesh Murthy.

*Know more*
<https://inc42.com/buzz/former-zilingo-ceo-ankiti-bose-files-100-mn-defamat=
ion-suit-against-mahesh-murthy/>

*Tim Cook Launches India=E2=80=99s First Apple Store In Mumbai=E2=80=99s BK=
C*
=C2=AD

Finally, the wait is over for India to have its very own Apple store. Apple
CEO Tim Cook launched the first Apple store in Mumbai for the customers.The
store is located at the Bandra Kurla Complex (BKC), known as the financial,
arts, and entertainment hub of the city.

*Know more*
<https://inc42.com/buzz/india-gets-its-first-apple-store-today-at-mumbais-b=
kc/>

E-Cell
IIT Roorkee
e <https://my.sendinblue.com/camp/showpreview/id/25#>cell@iitr.ac.in
<https://www.facebook.com/ecelliitr> =C2=AD
<https://twitter.com/ECell_IITR> =C2=AD
<http://ecell@iitr.ac.in/> =C2=AD
<https://www.linkedin.com/company/ecelliitr/> =C2=AD
<https://www.instagram.com/ecelliitr/> =C2=AD

=C2=A9 2023 E-Cell IIT Roorkee
"
Japanese universities contact information,CDC Office IIT Roorkee <office_cdc@iitr.ac.in>,"Dear Students,=20

Recently we had a successful session by Embassy of Japan regarding Study, S=
cholarship and Job opportunities in Japan. Many Japanese universities prese=
nted online information sessions for the students.=20

Please find the list of universities along with their contact information:=
=20



1. University of Tokyo=20

India office=20

[ mailto:Indiaoffice.adm@gs.mail.u-tokyo.ac.jp | Indiaoffice.adm@gs.mail.u-=
tokyo.ac.jp ]=20

2. Kyoto University=20

Admissions Assistance Office (AAO):=20

[ mailto:aao-ku@mail2.adm.kyoto-u.ac.jp | aao-ku@mail2.adm.kyoto-u.ac.jp ]=
=20

3. Hiroshima University=20

[ mailto:kokusai-sien@office.hiroshima-u.ac.jp | kokusai-sien@office.hirosh=
ima-u.ac.jp ]=20

4. Ritsumeikan University=20

India Office=20

newdelhi@st.ritsumei.ac.jp=20

+91-97169-05468=20

https://www.facebook.com/RitsumeikanIndia/=20

5. Ritsumeikan Asia Pacific University=20

ADMISSIONS (UNDERGRADUATE)=20

[ mailto:welcome@apu.ac.jp | welcome@apu.ac.jp ]=20

APU GRADUATE ADMISSIONS=20

[ mailto:apugrad@apu.ac.jp | =C2=A0 =C2=A0 =C2=A0  ] [ mailto:apugrad@apu.a=
c.jp | apugrad@apu.ac.jp ]=20

6. Shimane University=20

[ mailto:ied-ryugaku@office.shimane-u.ac.jp | =C2=A0 =C2=A0 =C2=A0 ied-ryug=
aku@office.shimane-u.ac.jp ]=20

[ https://kokusai.shimane-u.ac.jp/english/ | =C2=A0 =C2=A0 =C2=A0 https://k=
okusai.shimane-u.ac.jp/english/ ]=20

7. I nformation for JSPS international fellowship for Research in Japan.=20

[ https://www.jsps.go.jp/english/e-inv_researchers/index.html | https://www=
.jsps.go.jp/english/e-inv_researchers/index.html ]=20


Regards=20
CDC Office=20
"
AAD Newsletter _ January - March 2023,Manager Anushruti Academy for the Deaf <manager.aad@iitr.ac.in>,"

Dear Sir/Ma'am, 



Anushruti Academy for the Deaf (AAD) takes pleasure in sharing its Quarterly Newsletter for the months of January - March 2023 which the link below mentioned. 



Newsletter Link: [ https://iitr.ac.in/anushruti/media_files/Newsletter_Jan_Mar_2023.pdf | https://iitr.ac.in/anushruti/media_files/Newsletter_Jan_Mar_2023.pdf ] 



On behalf of all the students, staff and Management Committee of AAD, we sincerely appreciate your efforts in helping AAD grow and perform. 

With best regards, 

Prof. Navneet Arora 
Manager, AAD 

"
"Reminder I : Filling up ""Response Form"" for lecture courses of all
 programs of Spring Sem 2022-23(Excluding MBA and U.G. 1st Year)",Assit RegistrarCurriculum <arcurriculum@iitr.ac.in>,"Dear Students ( Excluding MBA and UG 1st Yr ), 

It is reminder regarding submitting Response Form. The last date is Apr 25, 2023 (till 06:00 pm). 
In case of any query/ technical concern, write at 'AIS- Query ' before Apr 25 , 2023. 

For details , read the notice below. 

Ignore this mail if you have already submitted the response. 

Regards, 
Major Reeti (Retd.) 
Assistant Registrar (Curriculum) 
Academic Section 
IIT Roorkee 


From: ""Assit RegistrarCurriculum"" <arcurriculum@iitr.ac.in> 
To: ""Students-Notices"" <students-notices@iitr.ac.in> 
Cc: ""Dean AcademicAffairs"" <daa@iitr.ac.in>, ""Assoc DeanofAcademicAffairs"" <adaa-curriculum@iitr.ac.in>, ""Assoc. Dean of Academic Affairs Admission"" <adaa-admission@iitr.ac.in>, ""Assit RegistrarEvaluation"" <arevaluation@iitr.ac.in>, ""Assoc. Dean of Academic Affairs Evaluation"" <adaa-evaluation@iitr.ac.in> 
Sent: Friday, April 21, 2023 2:32:29 AM 
Subject: Filling up ""Response Form"" for lecture courses of all programs of Spring Sem 2022-23(Excluding MBA and U.G. 1st Year) 

Dear Students, 




The online portal for filling up ""Response Form"" for lecture courses of all programs of Spring Sem 2022-23 (excluding MBA and U.G. 1 st Year) is active with effect from Apr 21 to Apr 25 , 2023 (till 06:00 pm) . 



Filling up of Response Form is mandatory for all. The students who fail to submit responses in time will have to deposit late registration fine of Rs 1000/- to be allowed for registration to the subsequent semester. 







Steps for submitting responses: 




1. Log in to AIS ( https://acad.iitr.ac.in) 



2. Click at tab ' Response Form. ' 




3. Click at the name of every faculty tagged under field ' Faculty. ' 




4. Enter the feedback for all tagged faculty members. 




Note : 







1. Please ensure that you receive a Response Code on successful submission of the Response Form. If the Response Code is not generated, you will not be allowed to register in the subsequent 

semester. 




2. You are advised not to wait for the last date to submit the responses. 



3. In case of any query/ technical concern, write at 'AIS- Query ' before Apr 25 , 2023. 



4. No correspondence through mail/ request for extension of the date will be entertained. 



Regards, 
Major Reeti (Retd.) 
Assistant Registrar (Curriculum) 
Academic Section 
IIT Roorkee 

"
